phase,epoch,step,elapsed_s,loss,mae_mirror,mse_mirror,mae,sam,psnr,ssim
train,1,42244,1359.9,0.091985,,,,,,
train,1,42344,1362.7,0.099830,,,,,,
train,1,42444,1365.6,0.101814,,,,,,
train,1,42544,1368.4,0.092618,,,,,,
train,1,42644,1371.3,0.090930,,,,,,
train,1,42744,1374.1,0.097815,,,,,,
train,1,42844,1377.0,0.093239,,,,,,
train,1,42944,1379.8,0.099306,,,,,,
train,1,43044,1382.7,0.092213,,,,,,
train,1,43144,1385.5,0.088620,,,,,,
train,1,43244,1388.4,0.086537,,,,,,
train,1,43344,1391.2,0.101147,,,,,,
train,1,43444,1394.1,0.098450,,,,,,
train,1,43544,1396.9,0.097913,,,,,,
train,1,43644,1399.8,0.091887,,,,,,
train,1,43744,1402.6,0.085672,,,,,,
train,1,43844,1405.5,0.099768,,,,,,
train,1,43944,1408.3,0.093298,,,,,,
train,1,44044,1411.2,0.101568,,,,,,
train,1,44144,1414.0,0.091488,,,,,,
train,1,44244,1416.9,0.105233,,,,,,
train,1,44344,1419.7,0.103125,,,,,,
train,1,44444,1422.6,0.099453,,,,,,
train,1,44544,1425.4,0.084242,,,,,,
train,1,44644,1428.3,0.090455,,,,,,
train,1,44744,1431.1,0.100261,,,,,,
train,1,44844,1434.0,0.093937,,,,,,
train,1,44944,1436.8,0.095060,,,,,,
train,1,45044,1439.7,0.095661,,,,,,
train,1,45144,1442.5,0.088140,,,,,,
train,1,45244,1445.4,0.089379,,,,,,
train,1,45344,1448.2,0.092580,,,,,,
train,1,45444,1451.1,0.091251,,,,,,
train,1,45544,1453.9,0.095144,,,,,,
train,1,45644,1456.8,0.095121,,,,,,
train,1,45744,1459.6,0.089347,,,,,,
train,1,45844,1462.5,0.093692,,,,,,
train,1,45944,1465.3,0.095258,,,,,,
train,1,46044,1468.2,0.092017,,,,,,
train,1,46144,1471.0,0.095175,,,,,,
train,1,46244,1473.9,0.091834,,,,,,
train,1,46344,1476.7,0.086077,,,,,,
train,1,46444,1479.6,0.091513,,,,,,
train,1,46544,1482.4,0.090826,,,,,,
train,1,46644,1485.3,0.095412,,,,,,
train,1,46744,1488.1,0.085516,,,,,,
train,1,46844,1491.0,0.091283,,,,,,
train,1,46944,1493.8,0.088469,,,,,,
train,1,47044,1496.7,0.092911,,,,,,
train,1,47144,1499.5,0.090802,,,,,,
train,1,47244,1502.4,0.091844,,,,,,
train,1,47344,1505.2,0.094243,,,,,,
train,1,47444,1508.1,0.097414,,,,,,
train,1,47544,1510.9,0.091048,,,,,,
train,1,47644,1513.8,0.103489,,,,,,
train,1,47744,1516.6,0.090057,,,,,,
train,1,47844,1519.5,0.098261,,,,,,
train,1,47944,1522.3,0.098618,,,,,,
train,1,48044,1525.2,0.095432,,,,,,
train,1,48144,1528.0,0.091383,,,,,,
train,1,48244,1530.9,0.090283,,,,,,
train,1,48344,1533.7,0.090457,,,,,,
train,1,48444,1536.6,0.097035,,,,,,
train,1,48544,1539.4,0.094429,,,,,,
train,1,48644,1542.3,0.094970,,,,,,
train,1,48744,1545.1,0.087676,,,,,,
train,1,48844,1547.9,0.091090,,,,,,
val,1,,1692.5,0.086934,0.004844,0.000046,0.012181,0.053938,34.5419,0.942977
train,2,48988,1696.5,0.089345,,,,,,
train,2,49088,1699.3,0.087434,,,,,,
train,2,49188,1702.2,0.094364,,,,,,
train,2,49288,1705.0,0.092453,,,,,,
train,2,49388,1707.9,0.099628,,,,,,
train,2,49488,1710.7,0.093318,,,,,,
train,2,49588,1713.6,0.092868,,,,,,
train,2,49688,1716.5,0.091787,,,,,,
train,2,49788,1719.3,0.093782,,,,,,
train,2,49888,1722.2,0.091658,,,,,,
train,2,49988,1725.0,0.091573,,,,,,
train,2,50088,1727.9,0.094109,,,,,,
train,2,50188,1730.8,0.091893,,,,,,
train,2,50288,1733.6,0.088974,,,,,,
train,2,50388,1736.5,0.093801,,,,,,
train,2,50488,1739.3,0.093985,,,,,,
train,2,50588,1742.2,0.093840,,,,,,
train,2,50688,1745.0,0.095983,,,,,,
train,2,50788,1747.9,0.091492,,,,,,
train,2,50888,1750.7,0.097387,,,,,,
train,2,50988,1753.6,0.090581,,,,,,
train,2,51088,1756.4,0.092427,,,,,,
train,2,51188,1759.3,0.091648,,,,,,
train,2,51288,1762.1,0.093053,,,,,,
train,2,51388,1765.0,0.088020,,,,,,
train,2,51488,1767.8,0.092180,,,,,,
