phase,epoch,step,elapsed_s,loss,mae,mse
train,1,31144,966.1,0.100984,,
train,1,31244,968.9,0.099719,,
train,1,31344,971.8,0.101437,,
train,1,31444,974.6,0.097491,,
train,1,31544,977.5,0.096483,,
train,1,31644,980.3,0.107763,,
train,1,31744,983.1,0.103770,,
train,1,31844,986.0,0.101240,,
train,1,31944,988.8,0.110577,,
train,1,32044,991.7,0.097446,,
train,1,32144,994.5,0.097786,,
train,1,32244,997.3,0.100477,,
train,1,32344,1000.2,0.099432,,
train,1,32444,1003.0,0.094939,,
train,1,32544,1005.8,0.091157,,
train,1,32644,1008.7,0.098940,,
train,1,32744,1011.5,0.101316,,
train,1,32844,1014.4,0.105453,,
train,1,32944,1017.2,0.099543,,
train,1,33044,1020.1,0.094147,,
train,1,33144,1022.9,0.096033,,
train,1,33244,1025.7,0.090897,,
train,1,33344,1028.6,0.106432,,
train,1,33444,1031.4,0.092857,,
train,1,33544,1034.3,0.093437,,
train,1,33644,1037.1,0.092838,,
train,1,33744,1040.0,0.103032,,
train,1,33844,1042.8,0.099298,,
train,1,33944,1045.6,0.096403,,
train,1,34044,1048.5,0.091108,,
train,1,34144,1051.3,0.097948,,
train,1,34244,1054.2,0.100175,,
train,1,34344,1057.0,0.096804,,
train,1,34444,1059.9,0.091366,,
train,1,34544,1062.7,0.098907,,
train,1,34644,1065.6,0.098494,,
train,1,34744,1068.4,0.098235,,
train,1,34844,1071.2,0.096232,,
train,1,34944,1074.1,0.096389,,
train,1,35044,1076.9,0.094004,,
train,1,35144,1079.8,0.105150,,
train,1,35244,1082.6,0.093536,,
train,1,35344,1085.4,0.098900,,
train,1,35444,1088.3,0.105203,,
train,1,35544,1091.1,0.096901,,
train,1,35644,1094.0,0.100739,,
train,1,35744,1096.8,0.102264,,
train,1,35844,1099.6,0.090619,,
train,1,35944,1102.5,0.101798,,
train,1,36044,1105.3,0.102287,,
train,1,36144,1108.2,0.100692,,
train,1,36244,1111.0,0.102293,,
train,1,36344,1113.8,0.090997,,
train,1,36444,1116.7,0.094481,,
train,1,36544,1119.5,0.095592,,
train,1,36644,1122.4,0.092701,,
train,1,36744,1125.2,0.092843,,
